Strategy,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
PA,,,Tierra_agropecuaria,,,,2033,,,,9.74841,9.74841,9.74841,9.74841,9.74841,9.74841,9.74841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2034,,,,9.78984,9.78984,9.78984,9.78984,9.78984,9.78984,9.78984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2035,,,,9.8307,9.8307,9.8307,9.8307,9.8307,9.8307,9.8307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2036,,,,9.87099,9.87099,9.87099,9.87099,9.87099,9.87099,9.87099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2037,,,,9.91072,9.91072,9.91072,9.91072,9.91072,9.91072,9.91072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2038,,,,9.94991,9.94991,9.94991,9.94991,9.94991,9.94991,9.94991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2039,,,,9.98855,9.98855,9.98855,9.98855,9.98855,9.98855,9.98855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2040,,,,10.0266,10.0266,10.0266,10.0266,10.0266,10.0266,10.0266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2041,,,,10.0642,10.0642,10.0642,10.0642,10.0642,10.0642,10.0642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2042,,,,10.1013,10.1013,10.1013,10.1013,10.1013,10.1013,10.1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2043,,,,10.1378,10.1378,10.1378,10.1378,10.1378,10.1378,10.1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2044,,,,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,10.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2045,,,,10.2093,10.2093,10.2093,10.2093,10.2093,10.2093,10.2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2046,,,,10.2443,10.2443,10.2443,10.2443,10.2443,10.2443,10.2443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2047,,,,10.2788,10.2788,10.2788,10.2788,10.2788,10.2788,10.2788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2048,,,,10.3128,10.3128,10.3128,10.3128,10.3128,10.3128,10.3128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2049,,,,10.3463,10.3463,10.3463,10.3463,10.3463,10.3463,10.3463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2050,,,,10.3793,10.3793,10.3793,10.3793,10.3793,10.3793,10.3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2051,,,,10.4119,10.4119,10.4119,10.4119,10.4119,10.4119,10.4119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2052,,,,10.444,10.444,10.444,10.444,10.444,10.444,10.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2053,,,,10.4756,10.4756,10.4756,10.4756,10.4756,10.4756,10.4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2054,,,,10.5067,10.5067,10.5067,10.5067,10.5067,10.5067,10.5067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2055,,,,10.5374,10.5374,10.5374,10.5374,10.5374,10.5374,10.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2056,,,,10.5676,10.5676,10.5676,10.5676,10.5676,10.5676,10.5676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2057,,,,10.5974,10.5974,10.5974,10.5974,10.5974,10.5974,10.5974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2058,,,,10.6268,10.6268,10.6268,10.6268,10.6268,10.6268,10.6268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2059,,,,10.6557,10.6557,10.6557,10.6557,10.6557,10.6557,10.6557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2060,,,,10.6842,10.6842,10.6842,10.6842,10.6842,10.6842,10.6842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
